,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
10716,Serbia,     Nigeria,100,M-75 120mm,Mortar,2015,2015-2016,100,Possibly second-hand; designation uncertain (reported as '120mm mortar')
10717,Serbia,     Saudi Arabia,5,M-63 Plamen 128mm,Towed MRL,2015,2015,5,Second-hand; possibly ordered by Saudi Arabia as aid to Syrian rebels or Yemeni government
10719,Serbia,     UAE,. .,ALAS-C,Anti-ship missile,2013,,,For ALAS coast defence systems
10722,Seychelles, Cambodia,2,BM-21 Grad 122mm,Self-propelled MRL,1994,1995,2,Second-hand
10726,Singapore, Brazil,4,Grajau,Patrol craft,1987,1993-1997,4,
10728,Singapore,     India,6,Tara Bai,Patrol craft,1986,1987-1990,6,SGD30 m deal; incl 4 produced in India; for coast guard
10729,Singapore,     Sri Lanka,2,LC-33m,Landing craft,1990,1991-1992,2,Sri Lankan designation Kandula
10730,Singapore,     Taiwan,8,Ning Hai,Patrol craft,1985,1987-1990,8,Produced in Taiwan
10731,Singapore,     Bangladesh,2,PB-46,Patrol craft,1983,1984,2,Bangladeshi designation Meghna; for EEZ patrol under Ministry of Agriculture
10732,Singapore,     Belgium,2,A-310,Transport aircraft,1997,1997-1998,2,Second-hand; $36 m deal; A310-222 version
10733,Singapore,     Brunei,3,Waspada,FAC,1976,1978-1979,3,
10734,Singapore,     Chad,6,AS-350/AS-550 Fennec,Light helicopter,2008,2009-2010,6,Second-hand
10735,Singapore,     Indonesia,5,FH-88 155mm,Towed gun,1996,1997,5,Possibly second-hand
10738,Singapore,     Kuwait,3,LC-32m,Landing craft,1978,1979,3,Kuwaiti designation Al Jahra
10740,Singapore,     Malaysia,1,Duyong,Diving tender,1969,1971,1,Used as diving tender and for torpedo recovery
10742,Singapore,     Nigeria,2,FPB-38,Patrol craft,2007,2009,2,From Malaysian production line; Sea Eagle version
10743,Singapore,     Oman,1,Saba Al Bahr,Landing craft,1980,1981,1,
10746,Singapore,     Papua New Guinea,3,Standard 120mm,Mortar,1995,1996,3,
10748,Singapore,     Philippines,2,Bataan,Patrol craft,1973,1975,2,
10750,Singapore,     Sri Lanka,3,Abheetha,Cargo ship,1984,1984,3,Second-hand
10755,Singapore,     Sweden,1,Smit Manila,Cargo ship,1988,1989,1,Second-hand but modernized before delivery to depot ship; Swedish designation Uto
10756,Singapore,     Taiwan,20,RBS-70,Portable SAM,1982,1984,20,Illegally transferred via Unicorn International in Singapore
10757,Singapore,     Thailand,1,Chula,Tanker,1979,1981,1,
10762,Singapore,     UAE,1,Baracuda,Support ship,1982,1983,1,
10768,Singapore,     United Kingdom,115,Bronco,APC,2008,2010-2011,115,"GBP150 m ($233 m) deal; UK designation Warthog; incl ambulance, CP and ARV version"
10769,Singapore,     Unknown recipient(s),25,SRAMS 120mm,Mortar,2012,2013-2014,25,SGD58 m ($46 m) deal
10772,Slovakia, Afghanistan,24,D-30 122mm,Towed gun,2006,2006,24,Second-hand; aid
10774,Slovakia,     Algeria,54,BMP-2,IFV,1994,1995-1996,54,BVP-2 version; incl BVP-2K CP version
10775,Slovakia,     Angola,9,OT-64C,APC,1993,1994,9,Second-hand
10782,Slovakia,     Armenia,10,Su-25,Ground attack ac,2004,2004,10,Second-hand; SKK34 m ($8 m) deal; Su-25K version (incl 1 Su-25UBK)
10783,Slovakia,     Azerbaijan,1,T-72M1,Tank,2002,2002,1,Second-hand
10785,Slovakia,     Cambodia,2,Mi-8T,Transport helicopter,1995,1997,2,Second-hand; for VIP transport
10788,Slovakia,     Cameroon,2,Mi-24V/Mi-35,Combat helicopter,2014,2016,2,Second-hand; modernized in Poland before delivery
10789,Slovakia,     Central African Republic,3,OT-90,APC,2008,2008,3,Second-hand; may incl BRDM-2 armoured reconnaissance vehicle
10790,Slovakia,     Cyprus,2,Tatrapan,APC,2001,2007,2,ARSYS command post version; for use with Zuzana self-propelled guns
10792,Slovakia,     Ecuador,6,RM-70 122mm,Self-propelled MRL,1994,1995,6,Second-hand
10793,Slovakia,     Egypt,49,DV-2,Turbofan,1991,1993-1995,49,For 49 L-59E trainer/combat aircraft from Czech Republic
10794,Slovakia,     India,35,VT-72B,ARV,1993,1995,35,$32 m deal; probably incl 25 assembled from kits in India
10797,Slovakia,     Indonesia,9,BMP-2,IFV,1998,1998,9,Possibly second-hand from Ukraine delivered via Slovakia
10799,Slovakia,     Mali,18,BM-21 Grad 122mm,Self-propelled MRL,2015,2016,18,Second-hand
10800,Slovakia,     Mozambique,1,L-39Z Albatros,Trainer/combat ac,2013,2014,1,Second-hand; probably modernized in Romania before delivery; L-39ZO version
10801,Slovakia,     Northern Cyprus,72,9M113 Konkurs/AT-5,Anti-tank missile,1998,1998,72,Delivered via Turkey
10802,Slovakia,     Pakistan,6,OT-64C,APC,1993,1993,6,Second-hand; designation uncertain (reported as armoured combat vehicle)
10803,Slovakia,     Rwanda,5,RM-70 122mm,Self-propelled MRL,1996,1997,5,Second-hand
10804,Slovakia,     Saudi Arabia,36,BM-21 Grad 122mm,Self-propelled MRL,2012,2013-2016,36,Second-hand; possibly ordered by Saudi Arabia as aid to Syrian rebels or Yemeni government; supplier may be Czech Republic
10805,Slovakia,     Senegal,3,Mi-24V/Mi-35,Combat helicopter,2016,2017,3,Second-hand; sold via Polish company
10806,Slovakia,     Sierra Leone,10,OT-64A,APC,1993,1994,10,Second-hand
10807,Slovakia,     Sri Lanka,8,RM-70 122mm,Self-propelled MRL,2000,2002,8,Second-hand
10808,Slovakia,     Sudan,10,Cobra 30mm,IFV turret,2007,2007,10,For BTR-70 APC from Belarus and for modernization of Boraq or WZ-551 IFV
10809,Slovakia,     Syria,58,T-72M1,Tank,1992,1993,58,Part of $200-350 m deal (for 252 T-72 tanks ordered from Czechoslovakia; incl 194 delivered before 1993 from Czechoslovakia)
10810,Slovakia,     Tunisia,12,DV-2,Turbofan,1994,1995-1997,12,For 12 L-59T trainer/combat aircraft from Czech Republic
10811,Slovakia,     United Nations**,67,OT-64C,APC,1993,1993,67,Second-hand; designation uncertain (reported as armoured combat vehicle); for UNPROFOR in Bosnia
10813,Slovakia,     Uruguay,12,OT-64A,APC,1999,1999,12,Second-hand; delivered via Czech Republic
10814,Slovakia,     Viet Nam,2,P-12/Spoon Rest,Air search radar,2013,2014,2,Second-hand
10816,Slovakia,     Zimbabwe,2,2S1 122mm,Self-propelled gun,2000,2001,2,Probably second-hand
10819,Slovenia, Iraq,8,UBM-52 120mm,Mortar,2016,2016,8,Second-hand; aid
10822,South Africa, India,300,Casspir-6,APC,2009,2011-2013,300,MPV-I version; incl production of components and final assembly in India
10824,South Africa,     Jordan,25,Mbombe-6,APC,2014,2016-2018,25,Incl 25 assembled/produced in Jordan
10825,South Africa,     Kazakhstan,90,Marauder,APC,2013,2016-2019,90,Produced in Kazakhstan as Arlan
10827,South Africa,     Singapore,,Marauder,APC,2013,2016-2019,157,PCSV ALV Belrex version; incl production in Singapore
10828,South Africa,     UAE,1420,Al-Tariq,ASM,2011,2015-2018,1420,AED1.8 b ($500 m) deal; incl for Mirage-2000-9 combat aircraft
10830,South Africa,     Uganda,45,Mamba,APC,2013,2014-2019,31,Nyoka version; produced in Uganda
10831,South Africa,     United States,1311,RG-31 Nyala,APC,2003,2004-2008,1311,Mainly for use in Iraq and Afghanistan; incl production in USA and from Canadian production line
10835,South Africa,     Yemen,250,Qutaish-2,APV,2008,2009-2014,250,Incl production of components and assembly in Yemen
10836,South Africa,     African Union**,60,Mamba,APC,2005,2006,60,For use by AU/AMIS peacekeeping forces in Darfur (Sudan); Mamba-3 version
10842,South Africa,     Algeria,10,Seeker,UAV,1996,1998-1999,10,$20 m deal
10848,South Africa,     Angola,3,Casspir,APC,1994,1995,3,Second-hand
10850,South Africa,     Australia,1,Buffel,APC,1989,1989,1,For use with Australian UN forces in Namibia
10851,South Africa,     Azerbaijan,10,Vector,Helicopter turret,2007,2009-2010,10,For modernization of Azerbaijani Mi-24 to Mi-24G in Ukraine
10857,South Africa,     Benin,10,Casspir,APC,2012,2013,10,Casspir-2000 or Casspir-NG version
10858,South Africa,     Brazil,12,MB-326GB,Trainer/combat ac,2005,2006,12,Second-hand; Impala-1 and Impala-2 versions; up to 10 more bought for spares only
10859,South Africa,     Burkina Faso,4,AML-60/90,Armoured car,2005,2006,4,Second-hand; supplier could be South Africa
10862,South Africa,     Burundi,27,Casspir,APC,2008,2009-2010,27,Second-hand; probably modernized before delivery
10863,South Africa,     Cameroon,2,MB-326GB,Trainer/combat ac,1996,1997,2,Second-hand; Impala-1 (MB-326M) version
10867,South Africa,     Canada,2,RG-31 Nyala,APC,1999,1999,2,For use in Kosovo
10871,South Africa,     Chile,24,M-68/M-71 155mm,Towed gun,1998,1998,24,Second-hand; $2.5 m deal
10872,South Africa,     Colombia,4,RG-31 Nyala,APC,1995,1996,4,
10873,South Africa,     Congo,18,Mamba,APC,1996,1997,18,
10880,South Africa,     Cote d'Ivoire,10,Mamba,APC,1994,1995,10,
10882,South Africa,     Djibouti,9,Casspir,APC,2000,2000,9,Second-hand but modernized before delivery
10883,South Africa,     Ecuador,12,Cheetah-C,FGA aircraft,2010,2011-2012,12,Second-hand; $78 m deal (incl $43 m for aircraft and $35 m for 5 or 10 years support)
10884,South Africa,     Egypt,14,Mamba,APC,2012,2014,14,
10886,South Africa,     Equatorial Guinea,25,Mamba,APC,2012,2013-2014,25,Reva-3 and Reva-5 versions
10887,South Africa,     Eswatini,7,RG-31 Nyala,APC,1999,2001,7,For police
10889,South Africa,     Finland,6,RG-32 Scout,APV,2004,2006,6,
10893,South Africa,     Gabon,6,Mirage F-1A,FGA aircraft,2006,2006-2010,6,Second-hand but modernized before delivery; Mirage F-1AZ version
10896,South Africa,     Ghana,2,SA-316B Alouette-3,Light helicopter,1995,1996,2,
10900,South Africa,     Guinea,10,Mamba,APC,2003,2003,10,
10902,South Africa,     India,90,Casspir,APC,1998,1999,90,$12 m deal; Second-hand vehicles; rebuilt before delivery; for army and police units in Kashmir
10904,South Africa,     Indonesia,2,Casspir,APC,2003,2004,2,Second-hand
10905,South Africa,     Iraq,100,G-5 155mm,Towed gun,1984,1985-1988,100,
10909,South Africa,     Ireland,27,RG-32 Scout,APV,2008,2010,27,GBP19.6 m ($39 m) deal
10911,South Africa,     Israel,1,Zambia Challenge,Transport ship,1969,1969,1,Second-hand but only 2 year old; modified in Israel to landing ship
10912,South Africa,     Jordan,100,Ratel-20,IFV,2002,2003,100,Second-hand
10914,South Africa,     Katanga,5,PA-20 Pacer,Light aircraft,1961,1961,5,Second-hand
10915,South Africa,     Kenya,67,Puma M-26,APC,2010,2011-2012,67,KES1.6 b ($20 m) deal
10916,South Africa,     LF (Lebanon)*,75,MILAN,Anti-tank missile,1991,1991-1992,75,Deal also incl 9 launchers
10917,South Africa,     Madagascar,3,AS-350/AS-550 Fennec,Light helicopter,2018,2018,3,Second-hand; AS-350B2 version
10919,South Africa,     Malawi,10,Ferret,APV,1970,1972,10,Second-hand
10926,South Africa,     Malaysia,22,G-5 155mm,Towed gun,2000,2001-2002,22,$50 m deal; G-5 Mk-3 version
10931,South Africa,     Mali,5,RG-31 Nyala,APC,2002,2002,5,
10935,South Africa,     Morocco,60,AML-60/90,Armoured car,1979,1980-1981,60,AML-20 (Eland-20) and AML-90 (Eland-90) version
10937,South Africa,     Mozambique,5,Casspir,APC,2000,2000,5,Second-hand; for police; aid
10939,South Africa,     Namibia,24,BL 5.5in Medium Gun,Towed gun,1998,1998,24,Second-hand; aid; South African designation G-2
10941,South Africa,     Niger,6,Mamba,APC,2013,2014,6,Mamba-7 version
10943,South Africa,     Nigeria,56,Springbuck,APV/APC,2009,2010-2015,56,Incl Springbuck-4 version; incl assembly in Nigeria (from 2014/2015); for police
10947,South Africa,     Norway,5,RSR-210N,Air/sea search radar,2007,2010-2011,5,"ZAR150 m ($21 m) deal, for 5 Nansen frigates from Spain"
10948,South Africa,     Oman,24,G-6 Rhino 155mm,Self-propelled gun,1994,1994-1996,24,$120 m deal
10949,South Africa,     Paraguay,10,T-6 Texan,Trainer aircraft,1980,1982,10,Second-hand
10950,South Africa,     Peru,20,Casspir,APC,1990,1991-1992,20,For police
10953,South Africa,     Portugal,1,Flower,Corvette,1959,1959,1,Second-hand; for use as survey ship; Portugese designation Araujo
10955,South Africa,     Qatar,12,G-5 155mm,Towed gun,1991,1991,12,
10956,South Africa,     Rwanda,20,RG-31 Nyala,APC,1996,1996-1998,20,Part of $18 m deal
10960,South Africa,     Saudi Arabia,50,Al Kaser,APC,2005,2007-2008,50,
10966,South Africa,     Senegal,9,Casspir,APC,2004,2005-2008,9,Second-hand
10972,South Africa,     Sierra Leone,2,Mi-8MT/Mi-17,Transport helicopter,1995,1995,2,Second-hand; bought by South African mercenary company EO in Ukraine for use in EO's support to the government of Siera Leone
10974,South Africa,     Singapore,1,Round Table,Landing ship,1992,1992,1,Second-hand; Singaporean designation Perseverance
10975,South Africa,     Slovakia,1,RG-32 Scout,APV,2007,2008,1,
10977,South Africa,     Somalia,1,SA-316B Alouette-3,Light helicopter,2013,2013,1,Second-hand; for Puntland maritime police
10978,South Africa,     South Sudan,10,Mamba,APC,2012,2012,10,Reva-3 version
10979,South Africa,     Spain,100,RG-31 Nyala,APC,2008,2009-2010,100,EUR65 m deal; assembled in Spain; RG-31 Mk-5E version; incl 10 ambulance and 5 CP version
10980,South Africa,     Sri Lanka,47,Buffel,APC,1985,1987,47,Probably Second-hand; for use against LTTE rebels
10981,South Africa,     Sweden,6,Mamba,APC,1998,1998,6,For use by Swedish UN forces in West Sahara
10986,South Africa,     Switzerland,100,Centurion-3,Tank,1960,1960-1961,100,Second-hand (but only few years old); Centurion-5 version; Swiss designation Pz-60
10988,South Africa,     Tanzania,5,Casspir,APC,2008,2009,5,Second-hand; supplier uncertain; financed by USA for peacekeeping
10989,South Africa,     Thailand,87,Mamba,APC,2007,2008,87,THB900 m ($29 m) deal; Reva-3 version
10991,South Africa,     UAE,78,G-6 Rhino 155mm,Self-propelled gun,1990,1991-1993,78,For Abu Dhabi
11006,South Africa,     Uganda,10,Mamba,APC,1994,1995,10,
11013,South Africa,     United Kingdom,6,Mamba,APC,1996,1997,6,For use with UK forces in Bosnia; Alvis-4 and Alvis-8 version
11016,South Africa,     United Nations**,17,Mamba,APC,1994,1995,17,
11026,South Africa,     United States,5,RG-31 Nyala,APC,1996,1996,5,For use in peacekeeping operations
11029,South Africa,     Unknown recipient(s),5,Seeker,UAV,2009,2011,5,
11031,South Africa,     Yemen,50,Leopard,APV,2007,2009-2010,50,Yemeni designation Qutaish-1; assembled in Yemen
11033,South Africa,     Zambia,1,Rhino,APC,2004,2005,1,Second-hand
11035,South Africa,     Zimbabwe,12,AML-60/90,Armoured car,1966,1967,12,AML-60 (Eland-60) version
11048,South Korea, Colombia,1,STX-250t,Patrol craft,2013,2015,1,Colombian designation CPV-46
11049,South Korea,     India,7,Sukhanya,OPV,1987,1989-1993,7,Incl 4 produced in India
11051,South Korea,     Indonesia,4,LPD-122m,AALS,2004,2007-2011,4,$150 m deal; incl 2 produced in Indonesia; incl 1 for use as command ship; Indonesian designation Makassar
11058,South Korea,     Malaysia,2,Musytari,OPV,1983,1985-1986,2,Incl 1 produced in Malaysia
11061,South Korea,     Peru,20,KT-1 Woong Bee,Trainer aircraft,2012,2014-2017,20,$200-208 m deal (incl production of components and assembly 16 assembled in Peru); incl 10 KT-1C and 10 KA-1 (KT-1P) versions
11064,South Korea,     Poland,24,K-9,SPG chassis,2014,2016-2017,24,KRW83 b ($80 m) deal; for 24 Krab self-propelled guns produced in Poland
11066,South Korea,     Turkey,300,K-9 Thunder 155mm,Self-propelled gun,2001,2004-2013,300,$1-1.2 b deal; Turkish designation T-155 Firtina and TUSpH Storm
11069,South Korea,     United Kingdom,4,Tide,Oiler,2012,2017-2019,4,GBP452 m deal ($560-605m; incl GBP150 m spend in UK incl design and production of components in UK); part of 'MARS' programme; UK designation Tide
11070,South Korea,     Australia,1,Delos,Tanker,2004,2006,1,AUD50 m ($35 m) deal; modified for AUD60 m in Australia to support ship; Australian designation Sirius
11071,South Korea,     Bangladesh,1,Sea Dragon,OPV,1995,1997,1,Bangladeshi designation Madhumati
11074,South Korea,     Chile,16,KH-178 105mm,Towed gun,1991,1991,16,
11075,South Korea,     Colombia,1,Donghae,Corvette,2011,2014,1,Second-hand; aid; Colombian designation Narino
11079,South Korea,     Egypt,1,Po Hang,Corvette,2016,2017,1,Second-hand; aid
11080,South Korea,     Estonia,12,K-9 Thunder 155mm,Self-propelled gun,2018,,,EUR46 m deal; delivery planned 2021-2023
11081,South Korea,     Finland,48,K-9 Thunder 155mm,Self-propelled gun,2017,2018-2019,10,Second-hand; EUR146 m deal; option on more; delivery planned 2018-2024
11082,South Korea,     Ghana,1,Sea Dolphin,Patrol craft,2010,2011,1,Second-hand; aid
11083,South Korea,     Indonesia,4,PSMM-5,FAC,1976,1979-1980,4,Indonesian designation Mandau
11096,South Korea,     Iran,3,Hormuz-24,Landing ship,1984,1986,3,Iranian designation Farsi; officially delivered as merchant ships
11097,South Korea,     Iraq,12,Barracuda,APC,2004,2005,12,
11099,South Korea,     Jordan,20,Hanwha-70 70mm,MRL,2009,2012,20,For self-propelled MRL on Nimr light vehicle produced in Jordan
11100,South Korea,     Kazakhstan,3,Sea Dolphin,Patrol craft,2005,2006,3,Second-hand; aid; armament removed before delivery
11101,South Korea,     Liberia,1,Sea Dolphin,Patrol craft,1989,1989,1,
11102,South Korea,     Malaysia,42,K-200 KIFV,APC,1993,1993,42,"$25 m deal; for use with Malaysian UN forces in Bosnia; incl 4 mortar carrier, 2 ARV, 2 command post and 2 ambulance version; Malaysian designation MIFV"
11106,South Korea,     Myanmar,1,LPD-122m,AALS,2018,2019,1,
11107,South Korea,     New Zealand,1,Endeavour,Support ship,1986,1988,1,
11109,South Korea,     Norway,1,AEGIR-18R,Support ship,2013,2018,1,NOK1.3 b ($157-220 m) deal (100% offsets); Norwegian designation Maud
11112,South Korea,     Peru,8,A-37B Dragonfly,Ground attack ac,2009,2010,8,Second-hand; aid; incl for anti-narcotics operations
11115,South Korea,     Philippines,12,Haksaeng,Patrol craft,1993,1993-1994,12,Second-hand; Philippine designation Yap
11129,South Korea,     Saudi Arabia,100,Raybolt,Anti-tank missile,2017,2018,100,
11130,South Korea,     Senegal,4,KT-1 Woong Bee,Trainer aircraft,2016,,,KA-1S version; delivery planned 2020
11131,South Korea,     South Vietnam,44,F-5A Freedom Fighter,FGA aircraft,1972,1972,44,Second-hand; aid; incl some F-5B version and 8 RF-5A reconnaissance version
11132,South Korea,     Thailand,1,DW-3000,Frigate,2013,2018,1,THB15 b ($466 m) deal; Thai designation Bhumibol Adulyadej
11135,South Korea,     Timor-Leste,3,Sea Dolphin,Patrol craft,2011,2011,3,Second-hand; aid; Timor-Leste designation Kamenassa
11136,South Korea,     Uruguay,24,M-101A1 105mm,Towed gun,1981,1981,24,Second-hand
11139,South Korea,     Venezuela,4,Alligator,Landing ship,1982,1984,4,$93 m deal; Alligator-3 version; Venezuelan designation Capana
11141,South Korea,     Viet Nam,1,Po Hang,Corvette,2016,2017,1,Second-hand; part of armament removed before delivery
11145,South Vietnam, Laos,3,AC-47 Dragon Ship,Ground attack ac,1970,1970,3,Second-hand
11148,South Yemen, Ethiopia,3,Project-205/Osa,FAC,1986,1986,3,Second-hand; Osa-2 version
11149,South Yemen,     Singapore,5,Jet Provost,Trainer aircraft,1974,1975,5,Second-hand; Jet Provost T-52(A) version
